DELT,TA,QA,UA,U1,V1,SSG,LLG,RAIN,RHOO,COSZ,OMG,DECLIN
6.00000000000000000e+01,2.86738887746260275e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.13722933045980756e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86720497305074900e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.13286600732982157e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86702188339452050e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.12850268419983557e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86683961197968074e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.12413936106985002e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86665816227641471e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.11977603793986402e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86647753773926297e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.11541271480987803e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86629774180705624e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.11104939167989247e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86611877790284950e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.10668606854990648e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86594064943385888e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.10232274541992092e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86576335979139230e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.09795942228993493e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86558691235078982e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.09359609915994893e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86541131047135650e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.08923277602996338e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86523655749629825e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.08486945289997738e+00,4.00000000000000022e-01
6.00000000000000000e+01,2.86506265675265979e+02,8.00000000000000017e-03,3.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+02,0.00000000000000000e+00,1.19999999999999996e+00,0.00000000000000000e+00,-3.08050612976999183e+00,4.00000000000000022e-01
